Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A27358	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A27363	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27370	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0
A27376	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0
A27388	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A27402	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A27406	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A27409	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A27420	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
A27424	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A27436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27461	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
A27467	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
A27470	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A27473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
A27489	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
A27490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27498	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27499	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28001	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
A28007	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A28011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28014	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
A28018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
A28034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A28038	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A28058	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
A28072	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
A28076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
A28081	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A28097	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A28106	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A28122	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
A28127	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A28130	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A28143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28152	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
A28161	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A28163	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A28165	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A28166	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A28178	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
A28187	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
A28188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28201	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
A28212	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
A28217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A28225	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A28238	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A28243	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
A28262	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A28275	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A28276	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0
A28281	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
A28283	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
A28311	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
A28318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A28329	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A28340	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
A28342	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28365	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
A28367	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A28375	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A28385	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
A28387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A28395	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28397	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
A28402	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
A28403	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0
A28404	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A28405	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
A28427	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
A28434	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
A28437	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28441	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28443	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A28447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28461	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
A28466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
A28470	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A28474	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A28490	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A29001	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A29004	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A29021	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A29028	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0
A29032	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A29038	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
A29047	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A29055	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29056	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A29066	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A29074	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A29077	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
A29086	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A29088	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A29099	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A29102	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1
A29110	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A29121	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29128	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A29129	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A29140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A29145	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
A29157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A29163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A29166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29171	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29183	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
A29184	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0
A29189	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A29209	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0
A29215	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A29219	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A29223	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
A29225	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
A29227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29236	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A29246	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
A29258	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A29259	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29263	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A29279	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A29280	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A29281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29295	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
A29301	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A29302	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
A29304	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1
A29307	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29310	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A29311	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
A29320	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A29325	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29326	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A29327	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A29328	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
A29329	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
A29344	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
A29345	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A29349	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29360	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
A29361	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A29370	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
A29372	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
A29373	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A29379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29387	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A29395	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A29398	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A29405	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A29410	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
A29420	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
A29421	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A29422	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29425	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A29428	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29434	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29447	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29451	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A29452	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A29454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29457	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A29477	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
A29483	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A29489	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A29492	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A29499	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
A30009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A30017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A30027	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A30043	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A30047	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0
A30048	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A30055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A30067	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A30077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A30080	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A30088	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0
A30093	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
A30097	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A30098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
A30100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A30104	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
A30116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A30122	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
A30126	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A30131	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A30132	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
A30133	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A30143	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A30145	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
A30175	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A30183	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A30203	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
A30208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
A30244	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A30267	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A30275	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A30292	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A30298	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
A30307	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A30318	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A30325	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A30351	1	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0
A30354	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
A30372	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A30374	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A30385	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
A30387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A30399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A31001	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A31002	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
A31003	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A31004	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
A31005	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A31006	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0
A31007	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
A31008	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
A31009	1	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0
A31010	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A31011	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A31012	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A31013	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A31014	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
A31015	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
A31016	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0
A31017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A31018	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A31019	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
A31020	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A31021	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A31022	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A31023	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
A31024	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A31025	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A31026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A31027	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
A31028	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A31029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A31030	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A31031	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
A31032	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A31033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A31034	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0
A31035	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
A31036	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A31037	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
A31038	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
A31039	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
A31040	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
A31041	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A31042	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
A31043	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
A31044	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A31045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
