Argument ID	Conclusion Farsi	Stance Farsi	Premise Farsi	Conclusion English	Stance English	Premise English	Source	Method
F01025	در فرصت‌ها نباید بخاطر ترس و شرم تردید ورزید.	به نفع	ترس با نااميدى، و شرم با محروميّت همراه است، و فرصت ها چون ابرها مى گذرند، پس فرصت هاى نيك را غنيمت شماريد.	opportunity should not be hesitate by fear and bashfulness	in favor of	The consequence of fear is disappointment and bashfulness is frustration. Opportunity passes away like the cloud. Therefore, make use of good opportunities	Nahj al-Balagha	extracted
F01026	کلمات ناخواسته و حالت چهره می‌توان آنچه که در قلب کسی است بر ملا کند	در مقابل	ظاهر و رفتار فرد نمی‌تواند گویای آنچه که در قلب و درون اوست باشد زیرا گاهی افراد نیت‌های درونی واسرار خود را پنهان می‌کنند.	unintentional words and face expressions can reveals what is hidden in a man heart	against	A person's appearance and behavior cannot tell what is in her or his heart because sometimes people hide their inner intentions and secrets.	Nahj al-Balagha	deduced
F01027	کلمات ناخواسته و حالت چهره می‌توان آنچه که در قلب کسی است بر ملا کند	به نفع	كسى چيزى را در دل پنهان نكرد جز آن كه در لغزش هاى زبان و رنگ رخسارش، آشكار خواهد گشت.	unintentional words and face expressions can reveals what is hidden in a man heart	in favor of	Whenever a person conceals a thing in his heart, it manifests itself through unintentional words from his tongue and (in) the expressions of his face.	Nahj al-Balagha	extracted
F01028	باید قبل از سخن گفتن فکر کرد.	به نفع	كسى كه زياد سخن مى گويد زياد هم اشتباه دارد، و هر كس كه بسيار اشتباه كرد، شرم و حياء او اندك است، و آن كه شرم او اندك، پرهيزكارى او نيز اندك خواهد بود، و كسى كه پرهيزكارى او اندك است دلش مرده، و آن كه دلش مرده باشد، در آتش جهنّم سقوط خواهد كرد	We should think before speaking	in favor of	The one who talks a lot has a lot of mistakes, and whoever made a lot of mistakes, his shame and modesty are little, and the one whose shame is little, his piety will also be little, and the one whose piety is little, his heart is dead. And the one whose heart is dead will fall in the fire of hell.	Nahj al-Balagha	extracted
F01029	باید قبل از سخن گفتن فکر کرد.	به نفع	چون عقل كامل گردد، سخن اندك شود.	We should think before speaking	in favor of	When the intellect becomes perfect, speech becomes less.	Nahj al-Balagha	extracted
F01030	باید قبل از سخن گفتن فکر کرد.	به نفع	زبان عاقل در پشت قلب اوست، و قلب احمق در پشت زبانش قرار دارد	We should think before speaking	in favor of	A wise man's tongue is behind his heart, and a fool's heart is behind his tongue	Nahj al-Balagha	extracted
F01031	باید قبل از سخن گفتن فکر کرد.	به نفع	فرستاده تو بيانگر ميزان عقل تو، و نامه تو گوياترين سخنگوى تو است	We should think before speaking	in favor of	Your message shows the level of your intellect, and your letter is your most eloquent speaker	Nahj al-Balagha	extracted
F01032	باید قبل از سخن گفتن فکر کرد.	به نفع	سخن در بند توست، تا آن را نگفته باشى، و چون گفتى، تو در بند آنى. پس زبانت را نگهدار چنانكه طلا و نقره خود را نگه مى ‏دارى، زيرا چه بسا سخنى كه نعمتى را طرد يا نعمتى را جلب كرد.	We should think before speaking	in favor of	Your speech is in your bounds before you say it, and you will be in its bounds after saying it. So guard your tongue as you protect your gold and silver because perhaps a word that rejected a blessing or attracted a blessing.	Nahj al-Balagha	extracted
F01033	باید قبل از سخن گفتن فکر کرد.	به نفع	زبان درنده اى است که اگر رهايش کنى به تو آسيب مى رساند و مى دَرَد	We should think before speaking	in favor of	The tongue is a predator that if you let it go, it will hurt you	Nahj al-Balagha	deduced
F01034	سکوت همیشه نیکوست.	به نفع	با سكوت بسيار، وقار انسان بيشتر شود،	Silence is allways good	in favor of	With silence, human dignity will increase.	Nahj al-Balagha	deduced
F01035	سکوت همیشه نیکوست.	به نفع	زبان عاقل پشت قلب او قرار دارد در حالى که قلب احمق پشت زبان اوست	Silence is allways good	in favor of	A wise man's tongue is behind his heart, while a fool's heart is behind his tongue	Nahj al-Balagha	extracted
F01036	سکوت همیشه نیکوست.	به نفع	كمال ادب و مروّت، در هفت چيز است: عقل، بردبارى، صبر، ملايمت، سكوت، خوش اخلاقى و مدارا	Silence is allways good	in favor of	The perfection of politeness is in seven things: intellect, tolerance, patience, gentleness, silence, good manners and tolerance.	Nahj al-Balagha	deduced
F01037	سکوت همیشه نیکوست.	در مقابل	کسى که درباره حق بى طرف و بى تفاوت بماند و سکوت اختيار کند شيطان گنگى است	Silence is allways good	in favor of	The one who remains neutral and indifferent about the truth and chooses to be silent is like a dumb devil.	Nahj al-Balagha	deduced
F01038	سکوت همیشه نیکوست.	در مقابل	در آنجا كه بايد سخن گفت، خاموشى سودى ندارد، و آنجا كه بايد خاموش ماند سخن گفتن خيرى نخواهد داشت.	Silence is allways good	against	There is no good in silence about matters involving wisdom just as there is no good in speaking with ignorance.	Nahj al-Balagha	extracted
F01040	باید قناعت داشت.	در مقابل	همیشه قانع و راضی بودن به هر چیزی منجر می‌شود تا به دنبال رفع کمبود و نقصان‌ها نرویم و برای بهتر شدن نکوشیم.	we should have contentment	against	Always being content and satisfied with anything leads to not seeking to fix deficiencies and not trying to improve.	Nahj al-Balagha	deduced
F01041	باید قناعت داشت.	به نفع	چشم از سختى خوار و خاشاك و رنج ها فرو بند تا همواره خشنود باشى	we should have contentment	in favor of	Close your eyes from hardships and sufferings so that you will always be happy	Nahj al-Balagha	extracted
F01042	باید قناعت داشت.	به نفع	كسى كه به روزى خدا خشنود باشد بر آنچه از دست رود اندوهگين نباشد	we should have contentment	in favor of	She who is pleased with God's provision should not be sad about what is lost	Nahj al-Balagha	extracted
F01043	باید قناعت داشت.	به نفع	آدمى را قناعت براى دولتمندى، و خوش خلقى براى فراوانى نعمت ها كافى است.	we should have contentment	in favor of	Contentment is enough for a person to be wealthy, and a good mood is enough for abundance of blessings.	Nahj al-Balagha	extracted
F01044	باید قناعت داشت.	به نفع	وابستگى هاى انسان به مقام و مال و شهوات دنيا از شجاعت او مى کاهد و او را به اسارت مى کشاند؛ اما هنگامى که خود را از اين امور آزاد سازد، با شجاعت حرف خود را مى زند و راه خود را مى پيمايد و در برابر کسى ذليلانه سرتعظيم فرود نمى آورد و با توکل بر خدا در برابر حوادث سخت مى ايستد.	we should have contentment	in favor of	Man's attachments to position, wealth and worldly lusts reduce his courage and lead him into captivity. But when he frees himself from these matters, he speaks his word with courage and goes his own way, does not humility bow down himself in front of anyone, and stands with his trust in God in the face of difficult events.	Nahj al-Balagha	deduced
F01045	باید قناعت داشت.	به نفع	برترین غنا و بی نیازی ترک آرزوهاست چرا که برای دست‌یافتن به آن‌ها باید دست حجات جلوی دیگران دراز کرد و باید از آرامش روح و فکر برای رسیدن به آرزو‌ها هزینه کرد.	we should have contentment	in favor of	The greatest richness and lack of need are to give up dreams, because in order to achieve them, one has to ask for one needs in front of others, and has to spend peace of mind and soul to achieve one's dreams.	Nahj al-Balagha	deduced
F01046	باید قناعت داشت.	به نفع	قناعت مالى است كه پايان نمى پذيرد.	we should have contentment	in favor of	Contentment is a wealth that is not exhausted.	Nahj al-Balagha	extracted
F01047	هیچ گناهی نباید سبک شمرده شود.	به نفع	بدترین گناه است که گناهکار آن را سبک بشمارد.	none of sins should be taken lightly	in favor of	The worst sin is that which the one who commits it takes it lightly.	Nahj al-Balagha	extracted
F01048	هیچ گناهی نباید سبک شمرده شود.	در مقابل	گناهان ساده و شخصی که به دیگران آسیبی نمی‌رساند را می‌توان سبک شمرد.	none of sins should be taken lightly	against	Simple and personal sins that does not hurts the others can be taken lightly	Nahj al-Balagha	deduced
F01049	نباید کسانی که مجبوریم به خاطر آن‌ها به تکلف بفتیم به عنوان دوست در نظر بگیریم.	در مقابل	باید با افراد خردمند و دانا دوست باشیم اگرچه به خاطر آن‌ها متحمل سختی شویم.	We should not consider people that we have to observe their formalities as our comrades	against	We should be friends with wise and knowledgeable people even if we suffer hardship because of them.	Nahj al-Balagha	deduced
F01050	نباید کسانی که مجبوریم به خاطر آن‌ها به تکلف بفتیم به عنوان دوست در نظر بگیریم.	به نفع	بدترین دوست کسی است که بخاطر او در رنج و سختی و تکلف بیفتی	We should not consider people that we have to observe their formalities as our comrades	in favor of	The worst comrade is he for whom formality has to be observed.	Nahj al-Balagha	extracted
F01051	نباید غیبت دیگران را بکنیم.	به نفع	از مردم گره هر کینه ای را بگشای و از دل بیرون کن و رشته هر عداوت را بگسل و خود را از آنچه از تو پوشیده داشته اند، به تغافل زن و گفته سخن چین را تصدیق مکن. زیرا سخن چین، خیانتکار است، هر چند، خود را چون نیک خواهان وانماید.	We should not backbiting the others	in favor of	Untie all grudge from people and remove it from your heart and cut the string of enmity, and neglect what they have hidden from you, and do not acknowledge the talebearer since the talebearer is treacherous, even though it pretends to be good.	Nahj al-Balagha	extracted
F01052	نباید غیبت دیگران را بکنیم.	به نفع	غیبت کردن تلاش شخص ناتوان است.	We should not backbiting the others	in favor of	Backbiting is the tool of the helpless	Nahj al-Balagha	extracted
F01053	ثمرهٔ بردباری و درنگ بلند همتی است.	به نفع	بردباری و درنگ هماهنگ هستند و نتیجهٔ آن‌ها بلندهمتی است.	forbearance and endurance results in high courage	in favor of	Forbearance and endurance are twins and they are the product of high courage	Nahj al-Balagha	extracted
F01054	ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند	به نفع	نشانه ايمان آن است كه راست بگويى، آنگاه كه تو را زيان رساند، و دروغ نگويى كه تو را سود رساند؛ و آن كه بيش از مقدار عمل سخن نگويى، و چون از ديگران سخن گويى از خدا بترسى.	We should say the truth even it harms us and we should not lie even it benefits us.	in favor of	Belief means that you should prefer truth (even) when it harms you rather than falsehood (even) when it benefits you, that your words should not be more than your action and that you should fear Allah when speaking about others	Nahj al-Balagha	extracted
F01055	انسان نباید فخر فروشی داشته باشد.	به نفع	فرزند آدم را با فخر فروشى چه كار؟ او كه در آغاز نطفه اى گنديده، و در پايان مردارى بد بو است، نه مى تواند روزى خويشتن را فراهم كند، و نه مرگ را از خود دور نمايد.	man should not have vanity	in favor of	What has a man to do with vanity? His origin is semen, his end is a carcass, while he cannot feed himself nor ward off death?	Nahj al-Balagha	deduced
F01056	انسان نباید فخر فروشی داشته باشد.	به نفع	خودپسندى يكى از حسودان عقل است.	man should not have vanity	in favor of	Arrogance is one of the envious of wisdom.	Nahj al-Balagha	extracted
F01057	انسان نباید فخر فروشی داشته باشد.	به نفع	سزاوار نيست كه بنده خدا به دو خصلت اعتماد كنند: تندرستى، و توانگرى، زيرا در تندرستى ناگاه او را بيمار بينى، و در توانگرى ناگاه او را تهيدست.	man should not have vanity	in favor of	It is not appropriate for someone to trust two traits: health and wealth, because in good health you will suddenly find her sick, and in sudden wealth you will find her destitute.	Nahj al-Balagha	extracted
F01058	انسان نباید فخر فروشی داشته باشد.	به نفع	ترسناك ترين تنهايى خودپسندى است	man should not have vanity	in favor of	The most terrifying loneliness is selfishness	Nahj al-Balagha	extracted
F01059	انسان نباید فخر فروشی داشته باشد.	به نفع	گناهى كه تو را پشيمان كند بهتر از كار نيكى است كه تو را به خود پسندى وا دارد	man should not have vanity	in favor of	A sin that makes you regret is better than a good deed that makes you proud	Nahj al-Balagha	extracted
F01060	انسان نباید فخر فروشی داشته باشد.	به نفع	مبادا هرگز با خدمت هايى كه انجام دادى بر مردم منّت گذارى، يا آنچه را انجام داده اى بزرگ بشمارى، يا مردم را وعده اى داده، سپس خلف وعده نمايى. منّت نهادن، پاداش نيكوكارى را از بين مى برد	man should not have vanity	in favor of	Don't ever blame the people for the services you have done, or consider what you have done great, or make a promise to the people, and then renege on the promise. showing grace destroys the reward of good deeds	Nahj al-Balagha	extracted
F01061	انسان نباید فخر فروشی داشته باشد.	به نفع	خود پسندى مانع فزونى است.	man should not have vanity	in favor of	Selfishness is an obstacle to growth.	Nahj al-Balagha	extracted
F01062	انسان نباید فخر فروشی داشته باشد.	به نفع	انسان از خود راضى، دشمنان او فراوانند	man should not have vanity	in favor of	enemies of the man who is satisfied with himself are many	Nahj al-Balagha	extracted
F01063	انسان نباید فخر فروشی داشته باشد.	به نفع	هرگاه، از سلطه و قدرتی که در آن هستی در تو نخوتی یا غروری پدید آمد به عظمت ملک خداوند بنگر که برتر از توست و بر کارهایی تواناست که تو را بر آن ها توانایی نیست. این نگریستن سرکشی تو را تسکین می دهد و تندی و سرافرازی را فرو می کاهد و خردی را که از تو گریخته است به تو باز می گرداند.	man should not have vanity	in favor of	whenever from your dominion and power you became proud, look at the greatness of God's kingdom, which is superior to you and he is capable of works that you are not. Such vision soothes your stubbornness and subdues your arrogance and restore your wisdom which has escaped from your	Nahj al-Balagha	extracted
F01064	انسان نباید فخر فروشی داشته باشد.	به نفع	اگر کسی را ببینی که از تو بزرگ تر است بگو که او در ایمان و اعمال شایسته بر من پیشی گرفته است، پس او از من بهتر است و اگر خردتر از خود بینی بگو که من بیشتر از او گناه کرده ام پس او از من بهتر است و اگر هم سال خود را ببینی بگو که یقین به گناه خود دارم، و در گناه او شک دارم، پس چرا یقین خود را بر شک بگذارم.	man should not have vanity	in favor of	If you see someone who is older than you, say that he has surpassed me in faith and good deeds, then he is better than me, and if you see yourself as younger than you, say that I have sinned more than him, then he is better than me. And if you see your age, tell me that I am sure of my sin, and I doubt his sin, so why should I put my certainty on doubt?	Nahj al-Balagha	extracted
F01065	ما نباید از کسی متمایل ماست دوری کنیم و نباید خواهان کسی باید باشیم که وقتی به او گرایش داریم از ما روی‌گردان است	به نفع	دورى تو از آن كس كه متمایل تو است نشانه كمبود بهره تو در دوستى است، و گرايش تو به آن كس كه تو را نخواهد، سبب خوارى تو است.	we should not turn away from one who inclines us and should not incline towards who turns aways from us	in favor of	Your turning away from the one who inclines towards you is a loss of your share of advantage, while your inclining towards one who turns away from you is selfhumiliation.	Nahj al-Balagha	extracted
F01066	ما باید خودمان را گرامی بداریم.	به نفع	رعايت حق كسى كه او حقش را محترم نمى شمارد نوعى بردگى است.	we should maintain our own respect	in favor of	Respecting the right of someone who does not respect your rights is a form of slavery.	Nahj al-Balagha	extracted
F01067	ما باید خودمان را گرامی بداریم.	به نفع	نابود شد كسى كه ارزش خود را ندانست	we should maintain our own respect	in favor of	the one who did not know her own worth was destroyed	Nahj al-Balagha	extracted
F01068	ما باید خودمان را گرامی بداریم.	به نفع	کسی که خود را گرامی بدارد، هوا و هوس را خوار شمارد.	we should maintain our own respect	in favor of	Whoever maintains his own respect in view, his desires appear light to him	Nahj al-Balagha	extracted
F01069	مداومت در کار ارزشمند است.	به نفع	چيز اندك كه با اشتياق تداوم يابد، بهتر از فراوانى است كه رنج آور باشد.	Persistence in work is valuable.	in favor of	A little that lasts is better than much that brings grief	Nahj al-Balagha	extracted
F01070	عدالت بهتر از بخشش است.	به نفع	عدالت هر چیزی را در جای خودش قرار می‌دهد در حالی که بخشش آن‌ها را از جایگاه خودش خارج می‌سازد.	Justice is better than generosity	in favor of	Justice puts things in their places while generosity takes them out from their directions.	Nahj al-Balagha	extracted
F01071	عدالت بهتر از بخشش است.	به نفع	عدالت تدبیر عمومی مردم است در حالی بخشش گروه خاصی را شامل می‌شود.	Justice is better than generosity	in favor of	Justice is the general caretaker, while generosity is a particular benefit.	Nahj al-Balagha	extracted
F01072	عدالت بهتر از بخشش است.	در مقابل	بخشش کمک می‌کند تا انسان‌های مجرمی که قصد بازگشت به مسیر درست دارند فرصت دوباره داشته باشند در حالی که بنا بر عدالت باید تقاص جرم خود را ببینند.	Justice is better than generosity	against	Forgiveness helps to give criminals who intend to return to the right path a chance again, while according to justice they must face their crime.	Nahj al-Balagha	deduced
F01073	نباید غضب داشته باشیم	به نفع	غصب ایمان را فاسد می‌کند چنان که سرکه عسل را	We should not have anger	in favor of	Anger corrupts faith like vinegar corrupts honey	Nahj al-Balagha	deduced
F01074	نباید غضب داشته باشیم	به نفع	هرکه از برادران مؤمن تو سه مرتبه با تو به غضب آید و در هیچ مرتبه حرف بدی در حق تو نگوید، او را به دوستی و یاری خود بگیر	We should not have anger	in favor of	Whoever among your believing brothers gets angry with you three times and never says a bad word about you, take him as your friend and helper.	Nahj al-Balagha	deduced
F01075	نباید غضب داشته باشیم	به نفع	همانا مرد غضب میكند و در اثر آن مرتكب قتل نفس كه خدا حرام كرده میشود و زن پاكدامن را متهم مى سازد	We should not have anger	in favor of	Indeed, a man gets angry and as a result commits suicide, which is forbidden by God, and accuses a chaste woman.	Nahj al-Balagha	deduced
F01076	نباید غضب داشته باشیم	به نفع	هرکه غضب خود را نگاه دارد خداوند عیب او را بپوشاند.	We should not have anger	in favor of	Whoever keeps her anger, may God cover her/his faults	Nahj al-Balagha	deduced
F01077	نباید غضب داشته باشیم	به نفع	غصب دل شخص حکیم را نابود می‌سازد	We should not have anger	in favor of	Anger destroys the heart of a wise person	Nahj al-Balagha	deduced
F01078	نباید غضب داشته باشیم	به نفع	هر کس مالک غصب خود نباشد، مالک عقل خود نیست.	We should not have anger	in favor of	Whoever does not own her/his anger, will not own her intellect.	Nahj al-Balagha	deduced
F01079	نباید غضب داشته باشیم	به نفع	هر كه خشم خود را از مردم باز گیرد، خداعذاب روز قیامت را از او باز گیرد.	We should not have anger	in favor of	Whoever withdraws her/his anger from people, God will withdraw her punishment on the Day of Judgment.	Nahj al-Balagha	deduced
F01080	نباید غضب داشته باشیم	به نفع	تندخويى بى مورد نوعى ديوانگى است، زيرا كه تندخو پشيمان مى شود، و اگر پشيمان نشد پس ديوانگى او پايدار است	We should not have anger	in favor of	Unreasonable anger is a type of madness because the angry person regrets, and if she does not repent, then her madness is permanent.	Nahj al-Balagha	extracted
F01081	نباید غضب داشته باشیم	در مقابل	در برابر افراد بد گمان و منافق و ظالم باید غصب داشت تا حق به جایگاه خودش بازگردد	We should not have anger	against	There should be usurpation against suspicious, hypocritical and cruel people so that the right can return to its place	Nahj al-Balagha	deduced
F01082	عادت طمع انسان را پست می‌کند.	به نفع	شخص حریص بر دنیا مانند كرم ابریشم است كه هر چه بیشتر ابریشم بر خود مى پیچید راه بیرون شدنش دورتر و بسته تر میگردد، تا اینكه از غم و اندوه بمیرد.	greed as habit devalues human	in favor of	A person who is greedy for the world is like a silkworm, the more the silk is wrapped around itself, the way out becomes more distant and closed, until it dies of grief.	Nahj al-Balagha	deduced
F01083	دنیا پایدار نیست	به نفع	به دنيا آرامش يافتن در حالى كه ناپايدارى آن مشاهده مى گردد، از نادانى است	The world is not stable	in favor of	Finding peace in the world while observing its instability is a sign of ignorance	Nahj al-Balagha	extracted
